Address,City,State,Zip,Estimated_ARV,Purchase_Price,Potential_Equity,Estimated_Monthly_Rent,Annual_Cash_Flow,Priority_Score,Opportunity_Level,Why_Target
15409 Pinehurst,Detroit,MI,48238,95000,50000,45000,1615,12597,5,EXCEPTIONAL,"HIGH EQUITY PLAY: $45,000 equity potential + strong rent ($1615/mo). Prime acquisition target."
19447 Huntington Rd,Detroit,MI,48227,85000,50000,35000,1360,10608,4,EXCELLENT,"SOLID OPPORTUNITY: $35,000 equity + good cash flow ($1360/mo). Strong investment."
14243 Cruse St,Detroit,MI,48227,85000,50000,35000,1360,10608,4,EXCELLENT,"SOLID OPPORTUNITY: $35,000 equity + good cash flow ($1360/mo). Strong investment."
15352 Littlefield St,Detroit,MI,48227,85000,50000,35000,1360,10608,4,EXCELLENT,"SOLID OPPORTUNITY: $35,000 equity + good cash flow ($1360/mo). Strong investment."
12707 Strathmoor St,Detroit,MI,48227,85000,50000,35000,1360,10608,4,EXCELLENT,"SOLID OPPORTUNITY: $35,000 equity + good cash flow ($1360/mo). Strong investment."
15066 Beaverland St,Detroit,MI,48223,85000,50000,35000,1360,10608,4,EXCELLENT,"SOLID OPPORTUNITY: $35,000 equity + good cash flow ($1360/mo). Strong investment."
11591 Roxbury,Detroit,MI,48224,80000,50000,30000,1200,9360,4,EXCELLENT,"SOLID OPPORTUNITY: $30,000 equity + good cash flow ($1200/mo). Strong investment."
9075 Grandville Ave,Detroit,MI,48228,75000,50000,25000,1050,8190,3,GOOD,"DECENT DEAL: $25,000 equity potential. Moderate returns expected."
7357 Artesian,Detroit,MI,48228,75000,50000,25000,1050,8190,3,GOOD,"DECENT DEAL: $25,000 equity potential. Moderate returns expected."
8325 Coyle,Detroit,MI,48228,75000,50000,25000,1050,8190,3,GOOD,"DECENT DEAL: $25,000 equity potential. Moderate returns expected."
20044 Stotter,Detroit,MI,48234,70000,50000,20000,910,7098,3,GOOD,"DECENT DEAL: $20,000 equity potential. Moderate returns expected."
19387 Fleming St,Detroit,MI,48234,70000,50000,20000,910,7098,3,GOOD,"DECENT DEAL: $20,000 equity potential. Moderate returns expected."
19408 Keystone,Detroit,MI,48234,70000,50000,20000,910,7098,3,GOOD,"DECENT DEAL: $20,000 equity potential. Moderate returns expected."
19343 Harned St,Detroit,MI,48234,70000,50000,20000,910,7098,3,GOOD,"DECENT DEAL: $20,000 equity potential. Moderate returns expected."
19625 Concord St,Detroit,MI,48234,70000,50000,20000,910,7098,3,GOOD,"DECENT DEAL: $20,000 equity potential. Moderate returns expected."
16071 Manning St,Detroit,MI,48205,65000,50000,15000,909,7090,2,FAIR,"MARGINAL: Limited equity ($15,000) but may work for cash flow strategy."
19399 Waltham,Detroit,MI,48205,65000,50000,15000,909,7090,2,FAIR,"MARGINAL: Limited equity ($15,000) but may work for cash flow strategy."
18653 Runyon,Detroit,MI,48205,65000,50000,15000,909,7090,2,FAIR,"MARGINAL: Limited equity ($15,000) but may work for cash flow strategy."
15226 Faircrest St,Detroit,MI,48205,65000,50000,15000,909,7090,2,FAIR,"MARGINAL: Limited equity ($15,000) but may work for cash flow strategy."
19703 Rowe St,Detroit,MI,48205,65000,50000,15000,909,7090,2,FAIR,"MARGINAL: Limited equity ($15,000) but may work for cash flow strategy."
11268 Lakepointe,Detroit,MI,48205,65000,50000,15000,909,7090,2,FAIR,"MARGINAL: Limited equity ($15,000) but may work for cash flow strategy."
16229 Liberal St,Detroit,MI,48205,65000,50000,15000,909,7090,2,FAIR,"MARGINAL: Limited equity ($15,000) but may work for cash flow strategy."
16301 Liberal St,Detroit,MI,48205,65000,50000,15000,909,7090,2,FAIR,"MARGINAL: Limited equity ($15,000) but may work for cash flow strategy."
19393 Pelkey St,Detroit,MI,48205,65000,50000,15000,909,7090,2,FAIR,"MARGINAL: Limited equity ($15,000) but may work for cash flow strategy."
5372 Garland St,Detroit,MI,48213,60000,50000,10000,720,5616,2,FAIR,"MARGINAL: Limited equity ($10,000) but may work for cash flow strategy."
11083 Wilshire,Detroit,MI,48213,60000,50000,10000,720,5616,2,FAIR,"MARGINAL: Limited equity ($10,000) but may work for cash flow strategy."
12624 Wade St ,Detroit,MI,48213,60000,50000,10000,720,5616,2,FAIR,"MARGINAL: Limited equity ($10,000) but may work for cash flow strategy."
19266 Greeley St,Highland Park,MI,48203,55000,50000,5000,605,4719,1,POOR,"PASS: Low equity potential ($5,000). Better opportunities available."
20479 Greeley,Detroit,MI,48203,55000,50000,5000,605,4719,1,POOR,"PASS: Low equity potential ($5,000). Better opportunities available."
